"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","","A","СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО","В данную секцию входит использование растительных и животных природных ресурсов, включая выращивание зерновых, содержание и разведение животных, получение древесины и других растений, животных или продуктов животного происхождения на ферме или в естественной среде обитания.","","","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"2","01","","01","Растениеводство и животноводство, охота и предоставление услуг в этих областях","Данный раздел включает два основных вида деятельности: производство продуктов растениеводства и производство продуктов животного происхождения, также включающих формы основного земледелия, выращивание культивированных зерновых культур и скрещенных пород скота. Данный раздел включает выращивание как сельскохозяйственных культур в открытых полях, так и в парниках, оранжереях и теплицах.

Группа 01.5 (смешанное сельское хозяйство) классифицируется не в соответствии с обычными принципами  определения основного вида деятельности. Под этим подразумевается, что многие сельскохозяйственные предприятия производят как продукцию животноводства, так и растениеводства (примерно в равных пропорциях) и поэтому в данном классификаторе было бы неправильно относить их к той или иной категории.","","","This division includes two basic activities, namely the production of crop products and production of animal products, covering also the forms of organic agriculture, the growing of genetically modified crops and the raising of genetically modified animals. This division includes growing of crops in open fields as well in greenhouses.

Group 01.5 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts that many agricultural holdings have reasonably balanced crop and animal production, and that it would be arbitrary to classify them in one category or the other.","This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.","Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.

The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded is the landscape care and maintenance, which is classified in class 81.30."
"3","01.1","","011","Выращивание сезонных культур","Данная группа включает выращивание не многолетних культур, т.е. растений, которые существуют не более двух вегетационных периодов. Сюда также включено выращивание и подготовка семян.","","","This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.","",""
"4","01.11","","0111","Выращивание зерновых культур (за исключением риса), бобовых культур и масличных семян","Данный класс включает все виды выращивания зерновых, бобовых культур и масличных семян в открытом поле. Выращивание данных культур часто комбинируется в тех или иных сельскохозяйственных подразделениях.

Этот класс включает:
- выращивание зерновых культур, таких как:
  • пшеница
  • кукуруза
  • сорго
  • ячмень
  • рожь
  • овес
  • просо
  • прочие зерновые культуры и  т.д.
- выращивание бобовых культур, таких как:
  • бобы
  • конские бобы
  • турецкий горох
  • вигна
  • чечевица
  • люпин
  • горох
  • кайанус
  • прочие бобовые культуры
- выращивание масличных семян, таких как:
  • соевые бобы
  • земляной орех
  • клещевина обыкновенная
  • семена льна
  • семена горчицы
  • семена масличной нуги
  • семена рапса
  • семена сафлора красильного
  • семена кунжута
  • семена подсолнуха
  • прочие масличные семена","","","This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields. The growing of these crops is often combined within agricultural units.

This class includes:
- growing of cereals such as:
  • wheat
  • grain maize
  • sorghum
  • barley
  • rye
  • oats
  • millets
  • other cereals n.e.c.
- growing of leguminous crops such as:
  • beans
  • broad beans
  • chick peas
  • cow peas
  • lentils
  • lupines
  • peas
  • pigeon peas
  • other leguminous crops
- growing of oil seeds such as:
  • soya beans
  • groundnuts
  • castor bean
  • linseed
  • mustard seed
  • niger seed
  • rapeseed
  • safflower seed
  • sesame seed
  • sunflower seed
  • other oil seeds","","This class excludes:
- growing of rice, see 01.12
- growing of sweet corn, see 01.13
- growing of maize for fodder, see 01.19
- growing of oleaginous fruits, see 01.26"
"4","01.12","","0112","Выращивание риса","","","","","",""
"4","01.13","","0113","Выращивание овощей и бахчевых, корнеплодов и клубнеплодов","Этот класс включает:
- выращивание листовых и стебельных овощей, таких как:
  • артишок
  • аспарагус
  • капуста
  • цветная капуста и брокколи
  • салат-латук и цикорий
  • шпинат
  • прочие листовые или стебельные сорта овощей
- выращивание бахчевых культур и овощей, таких как:
  • огурцы и корнишоны
  • баклажаны
  • помидоры
  • арбузы
  • мускусная дыня
  • прочие виды бахчевых культур
- выращивание корневидных, луковичных и клубневых видов овощей, таких как:
  • морковь
  • турнепс
  • чеснок
  • лук (включая шалот)
  • лук-порей и прочие относящиеся к луковичным видам
  • прочие корневые, луковичные или клубневые виды овощей
- выращивание грибов и трюфелей
- выращивание овощных семян, включая семена сахарной свеклы, кроме семян других видов свеклы
- выращивание сахарной свеклы
- выращивание других овощей
- выращивание корневидных и клубневых видов овощей:
  • картофель
  • сладкий картофель
  • маниока
  • ямс
  • прочие корневидные и клубневые виды овощей","","","This class includes:
- growing of leafy or stem vegetables such as:
  • artichokes
  • asparagus
  • cabbages
  • cauliflower and broccoli
  • lettuce and chicory
  • spinach
  • other leafy or stem vegetables
- growing of fruit bearing vegetables such as:
  • cucumbers and gherkins
  • eggplants (aubergines)
  • tomatoes
  • watermelons
  • cantaloupes
  • other melons and fruit-bearing vegetables
- growing of root, bulb or tuberous vegetables such as:
  • carrots
  • turnips
  • garlic
  • onions (incl. shallots)
  • leeks and other alliaceous vegetables
  • other root, bulb or tuberous vegetables
- growing of mushrooms and truffles
- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds
- growing of sugar beet
- growing of other vegetables
- growing of roots and tubers such as:
  • potatoes
  • sweet potatoes
  • cassava
  • yams
  • other roots and tubers","","This class excludes:
- growing of chillies, peppers (capsicum sop.) and other spices and aromatic crops, see 01.28
- growing of mushroom spawn, see 01.30"
"4","01.14","","0114","Выращивание сахарного тростника","","","","","","This class excludes:
- growing of sugar beet, see 01.13"
"4","01.15","","0115","Выращивание табака","","","","","","This class excludes:
- manufacture of tobacco products, see 12.00"
"4","01.16","","0116","Выращивание волокнистых прядильных культур","Этот класс включает:
- выращивание хлопка-сырца
- выращивание джута, кенафа и прочих текстильных и лубяных волокон
- выращивание льна и конопли
- выращивание мексиканской агавы и прочих видов лубяных волокон и  агавы
- выращивание манильской пеньки, китайской крапивы и прочих овощных текстильных волокон
- выращивание прочих волокнистых культур","","","This class includes:
- growing of cotton
- growing of jute, kenaf and other textile bast fibres
- growing of flax and true hemp
- growing of sisal and other textile fibre of the genus agave
- growing of abaca, ramie and other vegetable textile fibres
- growing of other fibre crops","",""
"4","01.19","","0119","Выращивание прочих сезонных культур","Этот класс включает в себя выращивание прочих сезонных культур:
- выращивание брюквы, кормовой свеклы, кормовой зелени, клевера, люцерны, эспарцета, кормовой кукурузы и прочих трав, кормовой капусты и подобных кормовых продуктов
- выращивание семян свеклы (за исключением семян сахарной свеклы) и семян кормовых растений
- выращивание цветов
- производство свежесрезанных цветов и цветов в бутонах
- выращивание семян цветов","","","This class includes the growing of all other non-perennial crops:
- growing of swedes, mangolds, fodder roots, clover, alfalfa, sainfoin, fodder maize and other grasses, forage kale and similar forage products
- growing of beet seeds (excluding sugar beet seeds) and seeds of forage plants
- growing of flowers
- production of cut flowers and flower buds
- growing of flower seeds","","This class excludes:
- growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 01.28"
"3","01.2","","012","Выращивание многолетних культур","Данная группа включает выращивание многолетних культур, то есть растений, которые претерпевают более двух вегетационных периодов либо отмирают после каждого сезона или непрерывное выращивание. Сюда также включено выращивание и подготовка семян.","","","This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.","",""
"4","01.21","","0121","Выращивание винограда","Этот класс включает:
- выращивание винного винограда и столовых сортов винограда в виноградниках","","","This class includes:
- growing of wine grapes and table grapes in vineyards","","This class excludes:
- manufacture of wine, see 11.02"
"4","01.22","","0122","Выращивание тропических и субтропических фруктов","Этот класс включает:
- выращивание тропических и субтропических фруктов:
  • авокадо
  • бананы и овощные бананы
  • финики
  • инжир
  • манго
  • папайя
  • ананасы
  • прочие тропические и субтропические фрукты","","","This class includes:
- growing of tropical and subtropical fruits:
  • avocados
  • bananas and plantains
  • dates
  • figs
  • mangoes
  • papayas
  • pineapples
  • other tropical and subtropical fruits","",""
"4","01.23","","0123","Выращивание цитрусовых фруктов","Этот класс включает:
- выращивание цитрусовых фруктов:
  • грейпфрута и помело
  • лимонов и лайма
  • апельсинов
  • мандаринов всех видов
  • прочих цитрусовых фруктов","","","This class includes:
- growing of citrus fruits:
  • grapefruit and pomelo
  • lemons and limes
  • oranges
  • tangerines, mandarins and clementines
  • other citrus fruits","",""
"4","01.24","","0124","Выращивание семечковых и косточковых плодов","Этот класс включает:
- выращивание семечковых и косточковых плодов:
  • яблок
  • абрикос
  • вишни и черешни
  • персиков и гладких персиков
  • груш и айвы
  • сливы и терна
  • прочих видов семечковых и косточковых плодов","","","This class includes:
- growing of pome fruits and stone fruits:
  • apples
  • apricots
  • cherries and sour cherries
  • peaches and nectarines
  • pears and quinces
  • plums and sloes
  • other pome fruits and stone fruits","",""
"4","01.25","","0125","Выращивание прочих видов плодовых деревьев, кустарников и орехов","Этот класс включает:
- выращивание ягод:
  • черники/голубики
  • смородины
  • крыжовника
  • киви
  • малины
  • клубники/земляники
  • прочих видов ягод
- выращивание семян плодов
- выращивание съедобных орехов:
  • миндаля
  • кешью
  • каштанов
  • фундука/лесного ореха
  • фисташек
  • грецкого ореха
  • прочих видов орехов
- выращивание прочих видов плодовых деревьев и кустарников:
  • плодов рожкового дерева","","","This class includes:
- growing of berries:
  • blueberries
  • currants
  • gooseberries
  • kiwi fruit
  • raspberries
  • strawberries
  • other berries
- growing of fruit seeds
- growing of edible nuts:
  • almonds
  • cashew nuts
  • chestnuts
  • hazelnuts
  • pistachios
  • walnuts
  • other nuts
- growing of other tree and bush fruits:
  • locust beans","","This class excludes:
- growing of coconuts, see 01.26"
"4","01.26","","0126","Выращивание масленичных фруктов","Этот класс включает:
- выращивание масленичных фруктов:
  • кокосового ореха
  • оливок
  • гвинейской масличной пальмы
  • прочих видов масленичных фруктов","","","This class includes:
- growing of oleaginous fruits:
  • coconuts
  • olives
  • oil palms
  • other oleaginous fruits","","This class excludes:
- growing of soya beans, groundnuts and other oil seeds, see 01.11"
"4","01.27","","0127","Выращивание культур для производства напитков","Этот класс включает:
- выращивание культур для производства напитков:
  • кофе
  • чая
  • мате
  • какао
  • прочих видов культур для приготовления напитков","","","This class includes:
- growing of beverage crops:
  • coffee
  • tea
  • maté
  • cocoa
  • other beverage crops","",""
"4","01.28","","0128","Выращивание специй, ароматических, сильнодействующих наркотических и фармацевтических культур","Этот класс включает:
- выращивание многолетних и не многолетних приправ и ароматических культур:
  • перца (piper sop.)
  • чили и паприки (capsicum sop.)
  • мускатного ореха, кардамона и видов ароматных специй, изготовленных из сушеной шелухи мускатного ореха
  • аниса, базилика и фенхеля
  • корицы
  • гвоздики
  • имбиря
  • ванили
  • хмеля
  • прочих видов приправ и ароматических культур
- выращивание сильнодействующих и наркотических культур","","","This class includes:
- growing of perennial and non-perennial spices and aromatic crops:
  • pepper (piper sop.)
  • chillies and peppers (capsicum sop.)
  • nutmeg, mace and cardamoms
  • anise, badian and fennel
  • cinnamon (canella)
  • cloves
  • ginger
  • vanilla
  • hops
  • other spices and aromatic crops
- growing of drug and narcotic crops","",""
"4","01.29","","0129","Выращивание прочих многолетних культур","Этот класс включает:
- выращивание каучуковых деревьев для сбора латекса
- выращивание новогодних/рождественских елок
- выращивание деревьев для получения сока
- выращивание растений, пригодных для плетения","","","This class includes:
- growing of rubber trees for harvesting of latex
- growing of Christmas trees
- growing of trees for extraction of sap
- growing of vegetable materials of a kind used primarily for plaiting","","This class excludes:
- growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19
- gathering of tree sap or rubber-like gums in the wild, see 02.30"
"3","01.3","","013","Производство продукции питомников","","","","","",""
"4","01.30","","0130","Производство продукции питомников","Этот подкласс включает разведение рассады, включая подготовку побегов и семян для разведения растений или прививания деревьев и для насаждения побегов.

Этот класс включает:
- выращивание растений для высаживания на плантации
- выращивание растений для украшения ландшафта или облагораживания территорий, включая выстилание дерном и пикирование
- выращивание многолетних растений для получения луковиц, клубней и корней; отростков и побегов; грибниц
- уход и обработку деревьев, за исключением ухода за лесными насаждениями","","","This class includes the production of all vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.

This class includes:
- growing of plants for planting
- growing of plants for ornamental purposes, including turf for transplanting
- growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn
- operation of tree nurseries, except forest tree nurseries","","This class excludes:
- growing of plants for the purpose of seed production, see 01.1, 01.2
- operation of forest tree nurseries, see 02.10"
"3","01.4","","014","Животноводство","Данная группа включает выращивание (сельскохозяйственное) и разведение всех видов животных, за исключением водных животных.","","","This group includes raising (farming) and breeding of all animals, except aquatic animals.","","This group excludes:
- farm animal boarding and care, see 01.62
- production of hides and skins from slaughterhouses, see 10.11"
"4","01.41","","0141","Разведение молочных пород скота","Этот класс включает:
- выращивание и разведение молочных пород скота
- получение сырого молока от коров и буйволов","","","This class includes:
- raising and breeding of dairy cattle
- production of raw milk from cows or buffaloes","","This class excludes:
- processing of milk, see 10.51"
"4","01.42","","0141","Разведение прочих пород крупного рогатого скота и буйволов","Этот класс включает:
- выращивание и разведение крупного рогатого скота и буйволов для получения мяса
- получение спермы быков для осеменения","","","This class includes:
- raising and breeding of cattle and buffaloes for meat
- production of bovine semen","",""
"4","01.43","","0142","Разведение лошадей и прочих копытных пород","Этот класс включает:
- разведение и выращивание лошадей, ослов, мулов или лошаков","","","This class includes:
- raising and breeding of horses, asses, mules or hinnies","","This class excludes:
- operation of racing and riding stables, see 93.19"
"4","01.44","","0143","Разведение верблюдов и верблюдовых","Этот класс включает:
- выращивание и разведение верблюдов (одногорбых верблюдов) и верблюдовых","","","This class includes:
- raising and breeding of camels (dromedary) and camelids","",""
"4","01.45","","0144","Разведение овец и коз","Этот класс включает:
- выращивание и разведение овец и коз
- производство сырого молока овец и коз
- заготовку шерсти","","","This class includes:
- raising and breeding of sheep and goats
- production of raw sheep or goat milk
- production of raw wool","","This class excludes:
- sheep shearing on a fee or contract basis, see 01.62
- production of pulled wool, see 10.11
- processing of milk, see 10.51"
"4","01.46","","0145","Разведение свиней и поросят","","","","","",""
"4","01.47","","0146","Птицеводство","Этот класс включает:
- разведение и размножение домашней птицы:
  • кур, индюков, уток, гусей и т.д.
- получение яиц от домашней птицы
- управление инкубаторными станциями для выращивания домашней птицы","","","This class includes:
- raising and breeding of poultry:
  • chickens, turkeys, ducks, geese and guinea fowls
- production of eggs from poultry
- operation of poultry hatcheries","","This class excludes:
- production of feathers or down, see 10.12"
"4","01.49","","0149","Разведение прочих видов животных","Этот класс включает:
- выращивание и разведение полуодомашненных или прочих животных:
  • страусов и страусов эму
  • прочих видов птицы (за исключением домашней птицы)
  • насекомых
  • кроликов и прочих пушных зверей/животных с ценным мехом
- производство меховых шкурок, кожи пресмыкающихся и птиц в результате разведения животных на фермах
- деятельность ферм по разведению червей,  улиток, моллюсков и т.п.
- разведение шелковичных червей, получение коконов шелковичных червей
- пчеловодство и производство меда и пчелиного воска
- разведение и размножение домашних животных (за исключением рыбок):
  • кошек и собак
  • птиц, таких как длиннохвостые попугаи и т.д.
  • хомяков и т.д.
- разведение прочих видов животных","","","This class includes:
- raising and breeding of semi-domesticated or other live animals:
  • ostriches and emus
  • other birds (except poultry)
  • insects
  • rabbits and other fur animals
- production of fur skins, reptile or bird skins from ranching operation
- operation of worm farms, land mollusc farms, snail farms etc.
- raising of silk worms, production of silk worm cocoons
- bee-keeping and production of honey and beeswax
- raising and breeding of pet animals (except fish):
  • cats and dogs
  • birds, such as parakeets etc.
  • hamsters etc.
- raising of diverse animals","","This class excludes:
- production of hides and skins originating from hunting and trapping, see 01.70
- operation of frog farms, crocodile farms, marine worm farms, see 03.21, 03.22
- operation of fish farms, see 03.21, 03.22
- boarding and training of pet animals, see 96.09
- raising and breeding of poultry, see 01.47"
"3","01.5","","015","Смешанное сельское хозяйство","","","","","",""
