"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ROLNICTWO, LEŚNICTWO I RYBACTWO","Sekcja ta obejmuje działalności związane z:
-   eksploatacją naturalnych zasobów roślinnych i zwierzęcych,
-   uprawą zbóż i innych roślin uprawnych,
-   chowem i hodowlą zwierząt,
-   pozyskiwaniem drewna i surowców leśnych,
-   pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"2","01","Uprawy rolne, chów i hodowla zwierząt, łowiectwo, włączając działalność usługową","Dział ten obejmuje:
-   uprawę i hodowlę roślin na otwartych polach lub pod osłonami,
-   chów i hodowlę zwierząt oraz wytwarzanie produktów zwierzęcych,
-   rolnictwo ekologiczne,
-   uprawę i hodowlę roślin genetycznie zmodyfikowanych,
-   chów i hodowlę zwierząt genetycznie zmodyfikowanych,
Grupa 01.5 Działalność mieszana uwzględnia zjawisko występowania gospodarstw rolnych prowadzących jednocześnie produkcję roślinną i zwierzęcą w zrównoważonej wielkości. Grupa ta została utworzona w celu uniknięcia zaklasyfikowania gospodarstw mieszanych w różnych grupowaniach.","Dział ten obejmuje także:
-   pozyskiwanie zwierząt łownych,
-   działalność usługową związaną z rolnictwem i łowiectwem, pozyskiwaniem zwierząt oraz działalność pokrewną.","Dział ten nie obejmuje:
-   przetwórstwa produktów rolnych (odpowiednie klasy działu 10 Produkcja artykułów spożywczych, działu 11 Produkcja napojów oraz 12.00 Produkcja wyrobów tytoniowych), z wyłączeniem przygotowywania ich na rynek pierwotny, sklasyfikowanego w niniejszym dziale,
-   robót ziemnych budowlanych wykonywanych na polach, np. orka warstwicowa gruntów rolnych (w celu utworzenia tarasów), drenaż, przygotowanie pól pod uprawę ryżu niełuskanego itp. sklasyfikowanych w odpowiednich klasach Sekcji F Budownictwo,
-   sprzedaży produktów rolnych sklasyfikowanych w odpowiednich klasach Sekcji G Handel hurtowy i detaliczny; naprawa pojazdów samochodowych, włączając motocykle,
-   zagospodarowania terenów zieleni, sklasyfikowanego w 81.30 Działalność usługowa związana z zagospodarowaniem terenów zieleni.","","01","This division includes two basic activities, namely the production of crop products and production of animal products, covering also the forms of organic agriculture, the growing of genetically modified crops and the raising of genetically modified animals. This division includes growing of crops in open fields as well in greenhouses.

Group 01.5 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts that many agricultural holdings have reasonably balanced crop and animal production, and that it would be arbitrary to classify them in one category or the other.","This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.","Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.

The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded is the landscape care and maintenance, which is classified in class 81.30."
"3","01.1","Uprawy rolne inne niż wieloletnie","Grupa ta obejmuje uprawy rolne inne niż wieloletnie, tj.:
-   uprawę roślin, które rosną nie dłużej niż przez dwa sezony wzrostu,
-   uprawę roślin w celu produkcji nasion.","","","","011","This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.","",""
"4","01.11","Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu","Klasa ta obejmuje uprawę zbóż, roślin strączkowych i roślin oleistych na otwartych polach. Gospodarstwa rolne często łączą uprawę tych zbóż.
Klasa ta obejmuje:
•    uprawę zbóż, takich jak:
•     pszenica,
•     kukurydza,
•     proso,
•     sorgo,
•     jęczmień,
•     żyto,
•     owies,
•     pozostałe zboża, gdzie indziej niesklasyfikowane,
•     uprawę roślin strączkowych, takich jak:
•     fasola,
•     bób,
•     ciecierzyca,
•     wspięga chińska,
•     soczewica,
•     łubin,
•     groch,
•     nikla indyjska,
•     pozostałe rośliny strączkowe,
•     uprawę roślin oleistych na nasiona, takich jak:
•     soja,
•     orzeszki ziemne,
•     bawełna,
•     rącznik,
•     siemię lniane,
•     gorczyca,
•     rzepak,
•     szafran,
•     sezam,
•     słonecznik,
•     pozostałe rośliny oleiste uprawiane na nasiona.","","Klasa ta nie obejmuje:
-    uprawy ryżu, sklasyfikowanej w 01.12,
-    uprawy kukurydzy cukrowej, sklasyfikowanej w 01.13,
-    uprawy kukurydzy pastewnej, sklasyfikowanej w 01.19,
-    uprawy drzew oleistych na owoce, sklasyfikowanej w 01.26.","","0111","This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields. The growing of these crops is often combined within agricultural units.

This class includes:
- growing of cereals such as:
  • wheat
  • grain maize
  • sorghum
  • barley
  • rye
  • oats
  • millets
  • other cereals n.e.c.
- growing of leguminous crops such as:
  • beans
  • broad beans
  • chick peas
  • cow peas
  • lentils
  • lupines
  • peas
  • pigeon peas
  • other leguminous crops
- growing of oil seeds such as:
  • soya beans
  • groundnuts
  • castor bean
  • linseed
  • mustard seed
  • niger seed
  • rapeseed
  • safflower seed
  • sesame seed
  • sunflower seed
  • other oil seeds","","This class excludes:
- growing of rice, see 01.12
- growing of sweet corn, see 01.13
- growing of maize for fodder, see 01.19
- growing of oleaginous fruits, see 01.26"
"4","01.12","Uprawa ryżu","","","","","0112","","",""
"4","01.13","Uprawa warzyw, włączając melony, oraz uprawa roślin korzeniowych i roślin bulwiastych","Klasa ta obejmuje:
-    uprawę warzyw kwiatostanowych, liściastych i łodygowych, takich jak:
 •    karczochy,
 •    szparagi,
 •    kapusta,
 •    kalafiory i brokuły,
 •    sałata i cykoria,
 •    szpinak,
 •    pozostałe warzywa kwiatostanowe, liściaste i łodygowe,
 -    uprawę warzyw owocowych, takich jak:
 •    ogórki,
 •    bakłażany,
 •    pomidory,
 •    papryka,
 •    arbuzy,
 •    kantalupy,
 •    melony,
 •    pozostałe warzywa uprawiane na owoce,
-    uprawę warzyw korzeniowych, bulwiastych i cebulowych, takich jak:
 •    marchew,
 •    rzepa,
 •    czosnek,
 •    cebula, włączając szalotkę,
 •    por i pozostałe warzywa cebulowe,
 •    pozostałe warzywa korzeniowe i bulwiaste,
 -  uprawę grzybów, w tym trufli,
 -   uprawę buraków cukrowych,
-  uprawę kukurydzy cukrowej,
 -  uprawę pozostałych warzyw,
 -    produkcję nasion warzyw, włącznie z nasionami buraków cukrowych ,z wyłączeniem pozostałych nasion buraków;
-     uprawę roślin korzeniowych i bulwiastych, takich jak:
 •    słodkie ziemniaki (pataty, bataty),
 •    maniok,
•     pozostałe rośliny korzeniowe i bulwiaste.","","Klasa ta nie obejmuje:
-    produkcji nasion buraków pastewnych, sklasyfikowanej w 01.19
-    uprawy chili i papryki słodkiej (z rodzaju Capsicum), pieprzu (z rodziny Piper) oraz pozostałych roślin przyprawowych i aromatycznych, sklasyfikowanych w 01.28,
-    uprawy grzybni, sklasyfikowanej w 01.30.","","0113","This class includes:
- growing of leafy or stem vegetables such as:
  • artichokes
  • asparagus
  • cabbages
  • cauliflower and broccoli
  • lettuce and chicory
  • spinach
  • other leafy or stem vegetables
- growing of fruit bearing vegetables such as:
  • cucumbers and gherkins
  • eggplants (aubergines)
  • tomatoes
  • watermelons
  • cantaloupes
  • other melons and fruit-bearing vegetables
- growing of root, bulb or tuberous vegetables such as:
  • carrots
  • turnips
  • garlic
  • onions (incl. shallots)
  • leeks and other alliaceous vegetables
  • other root, bulb or tuberous vegetables
- growing of mushrooms and truffles
- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds
- growing of sugar beet
- growing of other vegetables
- growing of roots and tubers such as:
  • potatoes
  • sweet potatoes
  • cassava
  • yams
  • other roots and tubers","","This class excludes:
- growing of chillies, peppers (capsicum sop.) and other spices and aromatic crops, see 01.28
- growing of mushroom spawn, see 01.30"
"4","01.14","Uprawa trzciny cukrowej","","","Klasa ta nie obejmuje :
- uprawy buraków cukrowych","","0114","","","This class excludes:
- growing of sugar beet, see 01.13"
"4","01.15","Uprawa tytoniu","","","Klasa ta nie obejmuje:
-    produkcji wyrobów tytoniowych, sklasyfikowanej w 12.00.","","0115","","","This class excludes:
- manufacture of tobacco products, see 12.00"
"4","01.16","Uprawa roślin włóknistych","Klasa ta obejmuje:
-    uprawę bawełny,
-    uprawę juty, ketmii konopiowatej i pozostałych roślin na włókna łykowe,
-    uprawę lnu i konopi,
-    uprawę sizalu i pozostałych roślin z rodziny agawy na włókna tekstylne,
-    uprawę konopi manilskich, ramii i pozostałych roślin na włókna tekstylne,
-    uprawę pozostałych roślin włóknistych.","","","","0116","This class includes:
- growing of cotton
- growing of jute, kenaf and other textile bast fibres
- growing of flax and true hemp
- growing of sisal and other textile fibre of the genus agave
- growing of abaca, ramie and other vegetable textile fibres
- growing of other fibre crops","",""
"4","01.19","Uprawy rolne inne niż wieloletnie, pozostałe","Klasa ta obejmuje pozostałe uprawy rolne inne niż wieloletnie, takie jak:
-    uprawa brukwi, buraków pastewnych, korzeni pastewnych, koniczyny, lucerny (alfalfa), esparcety, kukurydzy pastewnej i pozostałych traw innych niż rośliny wieloletnie, kapusty pastewnej i podobnych roślin pastewnych,
-    uprawa gryki,
-    produkcja nasion buraka pastewnego, z wyłączeniem nasion buraka cukrowego
-    produkcja nasion pozostałych roślin pastewnych,
-    uprawa kwiatów,
-    produkcja kwiatów ciętych oraz pączków kwiatowych,
-    produkcja nasion kwiatów.","","Klasa ta nie obejmuje:
-    produkcji nasion buraka cukrowego, sklasyfikowanej w 01.13.
-    uprawy roślin przyprawowych, aromatycznych innych niż rośliny wieloletnie, do produkcji leków i wyrobów farmaceutycznych, sklasyfikowanej w 01.28.","","0119","This class includes the growing of all other non-perennial crops:
- growing of swedes, mangolds, fodder roots, clover, alfalfa, sainfoin, fodder maize and other grasses, forage kale and similar forage products
- growing of beet seeds (excluding sugar beet seeds) and seeds of forage plants
- growing of flowers
- production of cut flowers and flower buds
- growing of flower seeds","","This class excludes:
- growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 01.28"
"3","01.2","Uprawa roślin wieloletnich","Grupa ta obejmuje:
-    uprawę roślin wieloletnich, tj. uprawę roślin, które rosną dłużej niż przez dwa sezony wzrostu, bez względu na to, czy rośliny te obumierają po każdym sezonie, czy też stale rosną,
-    uprawę roślin wieloletnich w celu produkcji nasion.","","","","012","This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.","",""
