"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","Tato sekce zahrnuje činnosti spojené s využíváním rostlinných a živočišných přírodních zdrojů. Patří sem činnosti jako pěstování zemědělských plodin, chov hospodářských zvířat, těžba dřeva a výroba jiných rostlinných a živočišných produktů v zemědělských podnicích nebo jejich získávání z volné přírody.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"2","01","Rostlinná a živočišná výroba, myslivost a související činnosti","Tento oddíl zahrnuje dvě oblasti činnosti – výrobu rostlinných produktů a výrobu živočišných produktů. Dále zahrnuje ekologické zemědělství a pěstování geneticky modifikovaných užitkových plodin a chov geneticky modifikovaných hospodářských zvířat. Oddíl zahrnuje kultury pěstované na volném prostranství i ve sklenících.
Skupina 01.5 (Smíšené hospodářství) tvoří výjimku ze základních pravidel určování hlavní činnosti. Při určování se zde vychází z toho, že v četných zemědělských podnicích je rostlinná a živočišná výroba v přiměřené rovnováze a jejich zařazení do jedné či druhé kategorie by bylo svévolné.","Oddíl zahrnuje také poskytování služeb spojených se zemědělstvím a s lovem a odchytem divokých zvířat a činnostmi s tím spojenými.","Zemědělství nezahrnuje následné zpracování zemědělských produktů (zařazeno v oddílu 10 (Výroba potravinářských výrobků a krmiv) a oddílu 12 (Zpracování tabáku), jež přesahuje stupeň přípravy pro primární trhy. Zahrnuje přípravu zemědělských produktů pro primární trhy.

Do zemědělství se dále nezahrnují polní stavební práce (např. terasování a odvodňování zemědělské půdy, příprava rýžových polí atd.), které zahrnuje sekce F (Stavebnictví), a činnosti nákupních družstev a odbytových sdružení, která se zabývají prodejem zemědělských produktů, zařazené do sekce G. Zemědělství nezahrnuje ani péči o krajinu a zachování krajiny, které patří do třídy 81.30.","","01","This division includes two basic activities, namely the production of crop products and production of animal products, covering also the forms of organic agriculture, the growing of genetically modified crops and the raising of genetically modified animals. This division includes growing of crops in open fields as well in greenhouses.

Group 01.5 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts that many agricultural holdings have reasonably balanced crop and animal production, and that it would be arbitrary to classify them in one category or the other.","This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.","Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.

The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded is the landscape care and maintenance, which is classified in class 81.30."
"3","01.1","Pěstování plodin jiných než trvalých","Tato skupina zahrnuje pěstování plodin jiných než trvalých, tzn. plodin s životností ne delší než dvě růstová období. Skupina rovněž zahrnuje pěstování těchto plodin za účelem získávání osiva.","","","","011","This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.","",""
"4","01.11","Pěstování obilovin (kromě rýže), luštěnin a olejnatých semen","Tato třída zahrnuje všechny druhy pěstování obilovin, luštěnin a olejnatých semen na volném prostranství. Tyto plodiny jsou v zemědělských podnicích často pěstovány společně.

Z:
- pěstování obilovin, např.:
• pšenice
• kukuřice na zrno
• čiroku (sorghum)
• ječmene
• žita
• ovsa
• prosa
• ostatních obilovin j. n.
- pěstování luštěnin, např.:
• fazolí
• bobů
• cizrny
• dlouhatce čínského
• čočky
• lupiny (bob vlčí)
• hrachu
• Cajanus cajan
• ostatních luštěnin
- pěstování olejnatých semen, např.:
• sojových bobů
• podzemnice olejné
• semen bavlny
• semen ricinových bobů
• lněných semen
• hořčičných semen
• semen mastňáku habešského (Guizotia abyssinica)
• semen řepky olejné
• semen světlice (safloru)
• sezamových semen
• slunečnicových semen
• jiných olejnatých semen","","N:
- pěstování rýže (01.12)
- pěstování sladké kukuřice (01.13)
- pěstování krmné kukuřice (01.19)
- pěstování olejnatých plodů (01.26)","","0111","This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields. The growing of these crops is often combined within agricultural units.

This class includes:
- growing of cereals such as:
  • wheat
  • grain maize
  • sorghum
  • barley
  • rye
  • oats
  • millets
  • other cereals n.e.c.
- growing of leguminous crops such as:
  • beans
  • broad beans
  • chick peas
  • cow peas
  • lentils
  • lupines
  • peas
  • pigeon peas
  • other leguminous crops
- growing of oil seeds such as:
  • soya beans
  • groundnuts
  • castor bean
  • linseed
  • mustard seed
  • niger seed
  • rapeseed
  • safflower seed
  • sesame seed
  • sunflower seed
  • other oil seeds","","This class excludes:
- growing of rice, see 01.12
- growing of sweet corn, see 01.13
- growing of maize for fodder, see 01.19
- growing of oleaginous fruits, see 01.26"
"4","01.12","Pěstování rýže","","","","","0112","","",""
"4","01.13","Pěstování zeleniny a melounů, kořenů a hlíz","Z:
- pěstování listové nebo košťálové zeleniny, např.:
• artyčoku
• chřestu
• zelí
• květáku a brokolice
• hlávkového salátu a čekanky obecné
• špenátu
• jiné listové nebo košťálové zeleniny
- pěstování plodové zeleniny, např.:
• okurek salátových a nakládaček
• lilku
• rajčat
• vodních melounů
• cukrových melounů
• ostatních melounů a ostatní plodové zeleniny
- pěstování kořenové, cibulové a hlízové zeleniny, např.:
• mrkve
• vodnice
• česneku
• cibule (vč. šalotky)
• póru a jiné cibulové zeleniny
• ostatní kořenové nebo hlízové zeleniny
- pěstování hub a lanýžů
- pěstování zeleninových semen, vč. osiva cukrové řepy, avšak kromě osiva ostatní řepy
- pěstování cukrové řepy
- pěstování ostatní zeleniny
- pěstování kořenů a hlíz, např.:
• brambor
• batátů (sladkých brambor)
• manioku
• jamů
• ostatních kořenů a hlíz","","N:
- pěstování papriky (capsicum spp.), jiného koření a aromatických rostlin (01.28)
- pěstování podhoubí (01.30)","","0113","This class includes:
- growing of leafy or stem vegetables such as:
  • artichokes
  • asparagus
  • cabbages
  • cauliflower and broccoli
  • lettuce and chicory
  • spinach
  • other leafy or stem vegetables
- growing of fruit bearing vegetables such as:
  • cucumbers and gherkins
  • eggplants (aubergines)
  • tomatoes
  • watermelons
  • cantaloupes
  • other melons and fruit-bearing vegetables
- growing of root, bulb or tuberous vegetables such as:
  • carrots
  • turnips
  • garlic
  • onions (incl. shallots)
  • leeks and other alliaceous vegetables
  • other root, bulb or tuberous vegetables
- growing of mushrooms and truffles
- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds
- growing of sugar beet
- growing of other vegetables
- growing of roots and tubers such as:
  • potatoes
  • sweet potatoes
  • cassava
  • yams
  • other roots and tubers","","This class excludes:
- growing of chillies, peppers (capsicum sop.) and other spices and aromatic crops, see 01.28
- growing of mushroom spawn, see 01.30"
"4","01.14","Pěstování cukrové třtiny","","","N:
- pěstování cukrové řepy (01.13)","","0114","","","This class excludes:
- growing of sugar beet, see 01.13"
"4","01.15","Pěstování tabáku","","","N:
- zpracování tabáku (12.00)","","0115","","","This class excludes:
- manufacture of tobacco products, see 12.00"
"4","01.16","Pěstování přadných rostlin","Z:
- pěstování bavlny
- pěstování juty, kenafu a ostatních textilních lýkových vláken
- pěstování lnu a pravého konopí
- pěstování sisalu a ostatních textilních agávových vláken
- pěstování abakových, ramiových a ostatních rostlinných přadných vláken
- pěstování ostatních přadných rostlin","","","","0116","This class includes:
- growing of cotton
- growing of jute, kenaf and other textile bast fibres
- growing of flax and true hemp
- growing of sisal and other textile fibre of the genus agave
- growing of abaca, ramie and other vegetable textile fibres
- growing of other fibre crops","",""
"4","01.19","Pěstování ostatních plodin jiných než trvalých","Z:
- pěstování všech ostatních plodin jiných než trvalých:
• pěstování tuřínu, krmné řepy, kořenů pro krmné účely, jetele, vojtěšky, vičence, krmné kukuřice a ostatních trav, krmné kapusty a podobného krmiva
• pěstování pohanky
• pěstování semen řepy (kromě cukrové řepy) a krmných plodin
• pěstování květin
• produkci řezaných květin a květinových poupat
• pěstování semen květin","","N:
- pěstování jednoletých rostlin pro výrobu koření, rostlin pro aromatické, léčivé a farmaceutické účely (01.28)","","0119","This class includes the growing of all other non-perennial crops:
- growing of swedes, mangolds, fodder roots, clover, alfalfa, sainfoin, fodder maize and other grasses, forage kale and similar forage products
- growing of beet seeds (excluding sugar beet seeds) and seeds of forage plants
- growing of flowers
- production of cut flowers and flower buds
- growing of flower seeds","","This class excludes:
- growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 01.28"
"3","01.2","Pěstování trvalých plodin","Tato skupina zahrnuje pěstování trvalých plodin, tzn. plodin, které přežijí více než dvě růstová období a které buď po každém období odumřou nebo rostou nepřetržitě. Patří sem rovněž pěstování těchto plodin za účelem získávání osiva.","","","","012","This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.","",""
